gen,N,tiles,bsc_frontend_s,ref_build_s,trs_link_s,ref_run_s,trs_run_s,ref_rss_kb,trs_rss_kb,ir_passes_s,backend_s
v1,2,4,0.958,2.645,0.123,0.101,0.034,36924,30800,0.046,0.031
v1,4,16,1.114,2.980,0.416,0.110,0.036,37200,31784,0.232,0.110
v1,8,64,2.002,4.840,1.992,0.116,0.059,37180,33300,1.499,0.384
v1,16,256,7.545,12.008,8.311,0.180,0.118,37536,39988,6.415,1.579
v1,32,1024,71.116,59.819,36.508,0.191,0.298,37584,68796,29.705,5.894
v2,2,4,0.740,2.523,0.130,0.096,0.031,36940,31248,0.051,0.035
v2,4,16,1.012,2.746,0.324,0.091,0.034,36648,31268,0.165,0.100
v2,8,64,1.835,3.915,1.326,0.106,0.046,37196,33496,0.808,0.412
v2,16,256,9.406,12.434,6.104,0.127,0.078,37440,40764,3.785,1.999
v2,32,1024,107.243,129.096,45.728,0.220,0.278,38060,72724,29.344,15.028
v3,2,4,0.987,2.846,0.205,0.101,0.036,37020,31024,0.085,0.071
v3,4,16,1.154,3.905,0.777,0.097,0.036,37252,31236,0.487,0.213
v3,8,64,2.206,5.228,6.970,0.274,0.111,37336,33740,4.393,2.341
v3,16,256,47.463,71.615,90.985,0.343,0.320,37604,40820,62.250,25.237
v3,32,1024,511.718,150.113,202.172,0.157,0.387,37816,70584,166.048,34.304
v3d,2,4,0.987,2.846,0.140,0.101,0.030,37020,31024,,
v3d,4,16,1.154,3.905,0.300,0.097,0.038,37252,31236,,
v3d,8,64,2.206,5.228,0.940,0.274,0.042,37336,33740,,
v3d,16,256,47.463,71.615,5.110,0.343,0.079,37604,40820,,
v3d,32,1024,511.718,150.113,27.360,0.157,0.262,37816,70584,,
